DATE_TIME,current_contract,next_contract,carry_contract
2014-02-18 23:00:00,20140200,20140300,20140300
2014-03-18 23:00:00,20140300,20140400,20140400
2014-04-18 23:00:00,20140400,20140500,20140500
2014-05-16 23:00:00,20140500,20140600,20140600
2014-06-18 23:00:00,20140600,20140700,20140700
2014-07-18 23:00:00,20140700,20140800,20140800
2014-08-15 23:00:00,20140800,20140900,20140900
2014-09-18 23:00:00,20140900,20141000,20141000
2014-10-17 23:00:00,20141000,20141100,20141100
2014-11-18 23:00:00,20141100,20141200,20141200
2014-12-18 23:00:00,20141200,20150100,20150100
2015-01-16 23:00:00,20150100,20150200,20150200
2015-02-17 23:00:00,20150200,20150300,20150300
2015-03-18 23:00:00,20150300,20150400,20150400
2015-04-17 23:00:00,20150400,20150500,20150500
2015-05-15 23:00:00,20150500,20150600,20150600
2015-06-18 23:00:00,20150600,20150700,20150700
2015-07-17 23:00:00,20150700,20150800,20150800
2015-08-18 23:00:00,20150800,20150900,20150900
2015-09-18 23:00:00,20150900,20151000,20151000
2015-10-16 23:00:00,20151000,20151100,20151100
2015-11-18 23:00:00,20151100,20151200,20151200
2015-12-18 23:00:00,20151200,20160100,20160100
2016-01-15 23:00:00,20160100,20160200,20160200
2016-02-18 23:00:00,20160200,20160300,20160300
2016-03-18 23:00:00,20160300,20160400,20160400
2016-04-15 23:00:00,20160400,20160500,20160500
2016-05-18 23:00:00,20160500,20160600,20160600
2016-06-17 23:00:00,20160600,20160700,20160700
2016-07-15 23:00:00,20160700,20160800,20160800
2016-08-18 23:00:00,20160800,20160900,20160900
2016-09-19 23:00:00,20160900,20161000,20161000
2016-10-18 23:00:00,20161000,20161100,20161100
2016-11-18 23:00:00,20161100,20161200,20161200
2016-12-16 23:00:00,20161200,20170100,20170100
2017-01-18 23:00:00,20170100,20170200,20170200
2017-02-17 23:00:00,20170200,20170300,20170300
2017-03-17 23:00:00,20170300,20170400,20170400
2017-04-18 23:00:00,20170400,20170500,20170500
2017-05-18 23:00:00,20170500,20170600,20170600
2017-06-16 23:00:00,20170600,20170700,20170700
2017-07-18 23:00:00,20170700,20170800,20170800
2017-08-18 23:00:00,20170800,20170900,20170900
2017-09-15 23:00:00,20170900,20171000,20171000
2017-10-18 23:00:00,20171000,20171100,20171100
2017-11-17 23:00:00,20171100,20171200,20171200
2017-12-15 23:00:00,20171200,20180100,20180100
2018-01-18 23:00:00,20180100,20180200,20180200
2018-02-14 23:00:00,20180200,20180300,20180300
2018-03-16 23:00:00,20180300,20180400,20180400
2018-04-18 23:00:00,20180400,20180500,20180500
2018-05-18 23:00:00,20180500,20180600,20180600
2018-06-15 23:00:00,20180600,20180700,20180700
2018-07-18 23:00:00,20180700,20180800,20180800
2018-08-17 23:00:00,20180800,20180900,20180900
2018-09-18 23:00:00,20180900,20181000,20181000
2018-10-18 23:00:00,20181000,20181100,20181100
2018-11-16 23:00:00,20181100,20181200,20181200
2018-12-18 23:00:00,20181200,20190100,20190100
2019-01-18 23:00:00,20190100,20190200,20190200
2019-02-15 23:00:00,20190200,20190300,20190300
2019-03-15 23:00:00,20190300,20190400,20190400
2019-04-18 23:00:00,20190400,20190500,20190500
2019-05-17 23:00:00,20190500,20190600,20190600
2019-06-18 23:00:00,20190600,20190700,20190700
2019-07-18 23:00:00,20190700,20190800,20190800
2019-08-16 23:00:00,20190800,20190900,20190900
2019-09-18 23:00:00,20190900,20191000,20191000
2019-10-18 23:00:00,20191000,20191100,20191100
2019-11-15 23:00:00,20191100,20191200,20191200
2019-12-18 23:00:00,20191200,20200100,20200100
2020-01-17 23:00:00,20200100,20200200,20200200
2020-02-18 23:00:00,20200200,20200300,20200300
2020-03-18 23:00:00,20200300,20200400,20200400
2020-04-17 23:00:00,20200400,20200500,20200500
2020-05-15 23:00:00,20200500,20200600,20200600
2020-06-18 23:00:00,20200600,20200700,20200700
2020-07-17 23:00:00,20200700,20200800,20200800
2020-08-18 23:00:00,20200800,20200900,20200900
2020-09-18 23:00:00,20200900,20201000,20201000
2020-10-16 23:00:00,20201000,20201100,20201100
2020-11-18 23:00:00,20201100,20201200,20201200
2020-12-18 23:00:00,20201200,20210100,20210100
2021-01-15 23:00:00,20210100,20210200,20210200
2021-02-18 23:00:00,20210200,20210300,20210300
2021-03-18 23:00:00,20210300,20210400,20210400
2021-04-16 23:00:00,20210400,20210500,20210500
2021-05-18 23:00:00,20210500,20210600,20210600
2021-06-18 23:00:00,20210600,20210700,20210700
2021-07-16 23:00:00,20210700,20210800,20210800
2021-08-18 23:00:00,20210800,20210900,20210900
2021-09-17 23:00:00,20210900,20211000,20211000
2021-10-15 23:00:00,20211000,20211100,20211100
2021-11-18 23:00:00,20211100,20211200,20211200
2021-12-17 23:00:00,20211200,20220100,20220100
2022-01-18 23:00:00,20220100,20220200,20220200
2022-02-18 23:00:00,20220200,20220300,20220300
2022-03-18 23:00:00,20220300,20220400,20220400
2022-04-15 23:00:00,20220400,20220500,20220500
2022-05-18 23:00:00,20220500,20220600,20220600
2022-06-17 23:00:00,20220600,20220700,20220700
2022-07-15 23:00:00,20220700,20220800,20220800
2022-08-18 23:00:00,20220800,20220900,20220900
2022-09-16 23:00:00,20220900,20221000,20221000
2022-10-18 23:00:00,20221000,20221100,20221100
2022-11-18 23:00:00,20221100,20221200,20221200
2022-12-16 23:00:00,20221200,20230100,20230100
2023-01-18 23:00:00,20230100,20230200,20230200
2023-02-17 23:00:00,20230200,20230300,20230300
2023-03-17 23:00:00,20230300,20230400,20230400
2023-04-18 23:00:00,20230400,20230500,20230500
2023-05-18 23:00:00,20230500,20230600,20230600
2023-06-16 23:00:00,20230600,20230700,20230700
2023-07-18 23:00:00,20230700,20230800,20230800
2023-08-18 23:00:00,20230800,20230900,20230900
2023-09-15 23:00:00,20230900,20231000,20231000
2023-10-18 23:00:00,20231000,20231100,20231100
2023-11-17 23:00:00,20231100,20231200,20231200
2023-12-15 23:00:00,20231200,20240100,20240100
2024-01-18 23:00:00,20240100,20240200,20240200
2024-02-19 23:00:00,20240200,20240300,20240300
2024-03-15 23:00:00,20240300,20240400,20240400
2024-04-18 23:00:00,20240400,20240500,20240500
2024-05-17 23:00:00,20240500,20240600,20240600
2024-06-18 23:00:00,20240600,20240700,20240700
2024-07-18 23:00:00,20240700,20240800,20240800
2024-08-16 23:00:00,20240800,20240900,20240900
2024-09-18 23:00:00,20240900,20241000,20241000
2024-10-18 23:00:00,20241000,20241100,20241100
2024-11-15 23:00:00,20241100,20241200,20241200
2024-12-18 23:00:00,20241200,20250100,20250100
2025-01-17 23:00:00,20250100,20250200,20250200
2025-02-18 23:00:00,20250200,20250300,20250300
2025-03-18 23:00:00,20250300,20250400,20250400
2025-04-18 23:00:00,20250400,20250500,20250500
2025-05-16 23:00:00,20250500,20250600,20250600
2025-06-18 23:00:00,20250600,20250700,20250700
2025-07-18 23:00:00,20250700,20250800,20250800
2025-08-15 23:00:00,20250800,20250900,20250900
2025-09-18 23:00:00,20250900,20251000,20251000
2025-10-17 23:00:00,20251000,20251100,20251100
2025-11-18 23:00:00,20251100,20251200,20251200
2025-12-18 23:00:00,20251200,20260100,20260100
2026-01-16 23:00:00,20260100,20260200,20260200
2026-02-13 23:00:00,20260200,20260300,20260300
2026-03-18 23:00:00,20260300,20260400,20260400
2026-04-17 23:00:00,20260400,20260500,20260500
2026-05-15 23:00:00,20260500,20260600,20260600
2026-06-18 23:00:00,20260600,20260700,20260700
2026-07-17 23:00:00,20260700,20260800,20260800
2026-07-27 23:00:00,20260800,20260900,20260900
